[Tue Mar 11 21:25:45.122507 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:49755] AH01628: authorization result: granted (no directives)
[Tue Mar 11 21:26:12.641260 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:49756] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:07:08.546331 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50931] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:07:09.036484 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50932] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:07:13.505848 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50932] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:07:15.076814 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50932] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:07:20.573641 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50956] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:07:21.589180 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50956] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:08:07.888088 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50961] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:08:49.401493 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50971] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:08:51.871852 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50971] AH01628: authorization result: granted (no directives)
[Tue Mar 11 23:08:54.004564 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50971] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:09:35.326065 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50984] AH01628: authorization result: granted (no directives)
[Tue Mar 11 23:09:43.754503 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50998] AH01628: authorization result: granted (no directives)
[Tue Mar 11 23:09:44.923055 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50998] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:09:45.264405 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:51008] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:09:47.376885 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:51008] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:09:55.121009 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51018] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:10:29.737573 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:51031] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:10:31.330592 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:51031] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:10:31.682837 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51041] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:10:34.379003 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51041] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:11:16.779452 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51051] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:11:40.087929 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51084] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:11:40.606649 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51084] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:11:43.037386 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51084] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:11:59.374560 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51085] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:12:09.524377 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51104] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:14:02.544232 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51123] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:14:02.887796 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51124] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:14:05.890158 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51124] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:14:08.962987 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51124] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:17:07.437847 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51161] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:17:12.211225 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51161] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:17:19.047298 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51163] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:17:21.265403 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51163] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:17:27.009255 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51173] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:17:27.297521 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51184] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:17:29.113497 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51184] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:17:32.390936 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51184] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:17:32.879031 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51201] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:18:39.864019 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51211] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:21:21.688072 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51235] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:21:46.370324 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51236] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:22:31.858048 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51251] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/create
[Tue Mar 11 23:23:12.198937 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51260] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/create
[Tue Mar 11 23:23:12.474089 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51270] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/create
[Tue Mar 11 23:23:25.811333 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51277] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:23:55.566324 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51278] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/11/edit
[Tue Mar 11 23:24:13.084629 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51289] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/11/edit
[Tue Mar 11 23:24:30.122080 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51297] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/11/edit
[Tue Mar 11 23:24:30.397685 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51302] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/11/edit
[Tue Mar 11 23:24:40.393142 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51311] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/11/edit
[Tue Mar 11 23:25:02.580093 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51312] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:25:02.864159 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51327] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:25:05.237485 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51327] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:25:07.768225 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51327] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:25:18.808531 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51339] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/create
[Tue Mar 11 23:25:19.089532 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51340] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks/create
[Tue Mar 11 23:26:56.387048 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51355] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:26:56.727755 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51356] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:26:59.066085 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51356] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 23:27:00.825687 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51356] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:27:12.631141 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51376] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/forgot-password
[Tue Mar 11 23:27:23.274930 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51377] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/forgot-password
[Tue Mar 11 23:29:02.433262 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51454] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:29:02.961651 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51455] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:34:10.155300 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51488] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 23:34:50.864970 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51489] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:40:51.201037 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51550] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:41:18.039650 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51551] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:41:23.938011 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51562] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 23:41:29.203109 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51562] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks?status=&priority=&due_from=&due_to=&sort_by=due_date&order=asc
[Tue Mar 11 23:41:33.231586 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:51562] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks?status=&priority=medium&due_from=&due_to=&sort_by=due_date&order=asc
[Tue Mar 11 23:44:43.683247 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:51660] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks?status=&priority=low&due_from=&due_to=&sort_by=due_date&order=asc
